Timestamp,Gender,Have you ever done an online purchase?,Have you done an online purchase during last 6 months?,"If yes, how many different items have you purchased within those 6 months?",Choose the type of the product you have purchased most frequently.,What type of vendors you mainly purchase from?,Select the international e-commerce platform you mostly use for purchases.,Select the local e-commerce platform you mostly use for purchases.,"Have you directly purchased from the vendor's online ordering site, without going through a well-known e-commerce platform like above?",What device you normally use when doing online purchases?,What is the most common way you get to know about online purchasing sites?,What is the maximum amount you prefer to pay for an online purchase in LKR?,Rate your overall satisfaction about online purchases in a 1-5 scale (considering your past experience). 1 is not satisfied at all. 5 is extremely satisfied.
2018/06/16 2:39:19 PM GMT+5:30,Male,Yes,Yes,6,"Wearables (dresses, watches, shoes etc.)",Foreign,ebay,None,Yes,Mobile Devices,I search online when I get a requirement,10000 - 30000,3
2018/06/16 2:40:25 PM GMT+5:30,Male,No,No,,,,,,,,,,
2018/06/16 2:45:12 PM GMT+5:30,Male,Yes,Yes,10,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories;Electronic Devices/Computer Equipments",Foreign,ebay,None,No,Laptops,I search online when I get a requirement,1000 - 5000,3
2018/06/16 2:53:25 PM GMT+5:30,Male,Yes,Yes,3,Electronic Devices/Computer Equipments,Both,ebay,kapruka.com,Yes,Laptops,I search online when I get a requirement,30000 - 50000,4
2018/06/16 3:46:11 PM GMT+5:30,Male,Yes,Yes,3,Electronic Devices/Computer Equipments;Homeware,Foreign,None,"Mydeal, Wow ",No,Laptops,Word of Mouth of friends,10000 - 30000,4
2018/06/16 3:55:36 PM GMT+5:30,Male,Yes,No,,digital content,Foreign,AliExpress,None,No,Laptops,I search online when I get a requirement,1000 - 5000,5
2018/06/16 5:14:01 PM GMT+5:30,Male,Yes,Yes,1,Tickets,Local,None,None,No,Both,I search online when I get a requirement,5000 - 10000,4
2018/06/16 8:11:36 PM GMT+5:30,Male,Yes,Yes,3,"Bags, Jewellery or any other fashion accessories",Foreign,AliExpress,kapruka.com,No,Both,Word of Mouth of friends,10000 - 30000,4
2018/06/16 9:01:00 PM GMT+5:30,Female,No,No,,,,,,,,,,
2018/06/16 9:28:09 PM GMT+5:30,Female,No,No,,,,,,,,,,
2018/06/16 9:33:24 PM GMT+5:30,Female,Yes,Yes,2,"Bags, Jewellery or any other fashion accessories;Electronic Devices/Computer Equipments",Foreign,ebay,None,No,Both,I search online when I get a requirement,10000 - 30000,4
2018/06/16 9:50:13 PM GMT+5:30,Female,No,No,,,,,,,,,,
2018/06/16 9:51:26 PM GMT+5:30,Male,Yes,Yes,1,Electronic Devices/Computer Equipments;Food,Local,ebay,None,No,Mobile Devices,I search online when I get a requirement,1000 - 5000,4
2018/06/16 10:11:18 PM GMT+5:30,Female,Yes,Yes,1,Electronic Devices/Computer Equipments,Foreign,ebay,Mydeals.lk,No,Laptops,I search online when I get a requirement,1000 - 5000,4
2018/06/16 10:57:05 PM GMT+5:30,Male,No,No,,,,,,,,,,
2018/06/17 1:08:46 AM GMT+5:30,Female,Yes,Yes,2,Homeware,Local,ebay,None,Yes,Mobile Devices,Instagram,1000 - 5000,3
2018/06/17 9:10:07 AM GMT+5:30,Male,Yes,Yes,2,Mobile accessories ,Foreign,ebay,None,No,Both,Facebook,1000 - 5000,3
2018/06/17 1:41:56 PM GMT+5:30,Male,Yes,Yes,Around 15 - 20,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories;Electronic Devices/Computer Equipments;Books",Both,AliExpress,takas.lk,No,Both,I search online when I get a requirement,5000 - 10000,4
2018/06/17 7:26:18 PM GMT+5:30,Female,No,No,,,,,,,,,,
2018/06/17 7:50:48 PM GMT+5:30,Female,Yes,Yes,8,Electronic Devices/Computer Equipments;Food;Homeware,Foreign,ebay,kapruka.com,Yes,Laptops,I search online when I get a requirement,1000 - 5000,5
2018/06/18 9:04:25 AM GMT+5:30,Male,Yes,Yes,4,Accomodation,Both,hotels.com,kapruka.com,Yes,Laptops,Word of Mouth of friends,5000 - 10000,4
2018/06/18 10:11:42 AM GMT+5:30,Male,Yes,Yes,2,"Bags, Jewellery or any other fashion accessories;Sports Equipments",Foreign,AliExpress,None,No,Laptops,Word of Mouth of friends,100 - 1000,4
2018/06/18 11:30:26 AM GMT+5:30,Female,Yes,No,1,"Bags, Jewellery or any other fashion accessories",Local,None,kapruka.com,No,Mobile Devices,Facebook,1000 - 5000,3
2018/06/18 7:31:49 PM GMT+5:30,Female,Yes,Yes,5,"Wearables (dresses, watches, shoes etc.);Food;Homeware;toys",Both,ebay,"shopping.lk,shopping talk,anything 10000",Yes,Mobile Devices,Facebook,1000 - 5000,4
2018/06/19 11:03:34 AM GMT+5:30,Female,Yes,No,,Electronic Devices/Computer Equipments;Food,Both,ebay,None,Yes,Laptops,I search online when I get a requirement,1000 - 5000,4
2018/06/20 10:41:50 AM GMT+5:30,Male,Yes,Yes,2,"Wearables (dresses, watches, shoes etc.);Sports Equipments",Foreign,ebay,daraz.lk,Yes,Mobile Devices,I search online when I get a requirement,1000 - 5000,3
2018/06/21 5:14:55 AM GMT+5:30,Male,Yes,Yes,6,Electronic Devices/Computer Equipments;Homeware,Foreign,AliExpress,None,No,Mobile Devices,I search online when I get a requirement,1000 - 5000,4
2018/06/23 12:57:05 PM GMT+5:30,Female,Yes,No,,"Bags, Jewellery or any other fashion accessories",Foreign,ebay,kapruka.com,No,Laptops,Facebook,1000 - 5000,4
2018/06/25 2:06:12 PM GMT+5:30,Female,No,No,,,,,,,,,,
2018/06/25 2:42:58 PM GMT+5:30,Female,Yes,Yes,More than 5 types ,"Bags, Jewellery or any other fashion accessories;Health and Beauty Products;Homeware",Foreign,AliExpress,None,Yes,Mobile Devices,I search online when I get a requirement,5000 - 10000,4
2018/06/25 3:05:31 PM GMT+5:30,Female,Yes,Yes,,"Wearables (dresses, watches, shoes etc.)",Local,None,kapruka.com,Yes,Both,Facebook,1000 - 5000,4
2018/06/25 7:02:31 PM GMT+5:30,Female,Yes,Yes,4,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories",Both,Amazon,kapruka.com,No,Laptops,I search online when I get a requirement,1000 - 5000,2
2018/06/26 10:58:19 AM GMT+5:30,Female,Yes,No,,"Wearables (dresses, watches, shoes etc.);Bags, Jewellery or any other fashion accessories",Foreign,ebay,None,No,Both,I search online when I get a requirement,1000 - 5000,3
